1.8526,0.10657
2.1973,0.053234
2.4308,0.89921
1.5395,0.77799
2.5259,0.68402
2.3849,0.89012
2.0281,0.62028
2.474,0.64197
2.0734,0.33753
1.6939,0.60285
2.3384,0.2699
2.6697,0.33279
1.7677,0.45683
1.6996,0.64162
2.3415,1.0809
1.9928,0.71326
1.5909,0.72184
2.3709,0.76298
1.9538,0.9611
1.7614,0.77413
1.8255,0.6191
1.8507,0.47009
2.2812,0.77917
1.6533,0.094945
2.1408,0.61252
2.3013,0.88297
1.742,0.53161
2.1003,0.77305
1.504,0.65173
2.2091,0.77551
1.6633,0.45196
2.2419,1.1014
2.1301,0.71898
1.8766,0.6423
1.556,0.24282
2.3995,0.54206
2.0458,0.16632
2.5032,0.51342
2.0026,0.23126
1.4665,-0.34919
2.507,-0.28434
1.9126,-0.47536
2.2773,0.15987
1.7833,0.080669
2.1836,0.09417
2.2505,-0.15278
2.3039,-0.095999
2.1497,-0.52717
1.9878,-0.29046
-1.5867,-0.66673
-1.5393,-0.25805
-1.8515,0.012647
-1.4649,-0.66026
-1.9493,-0.39266
-2.2016,-0.76982
-1.58,-0.14812
-1.5707,0.039249
-1.5638,0.013036
-1.0981,-0.6377
-1.2601,-0.54271
-1.0709,-0.36065
-1.5639,-0.44854
-1.3574,-0.48827
-1.8074,-1.0874
-1.6993,-0.139
-2.1543,-0.40033
-1.6091,-0.12199
-1.3519,-0.25064
-1.9475,-1.2236
-1.6967,-0.42039
-1.8472,-0.094175
-1.8725,-0.01645
-1.3593,-0.42517
-1.6098,-0.17385
-1.4081,-0.25861
-1.511,-0.053438
-1.3493,0.25908
-2.3072,-0.60343
-1.9366,0.29998
-1.6816,-0.26566
-1.5256,-0.56971
-1.2855,-0.5731
-1.8219,-0.29467
-1.8115,-0.28859
-1.7155,-0.20673
-1.4214,-0.081898
-1.5981,-0.22152
-1.2923,-0.63735
-1.8616,-0.53705
-1.5067,-0.55767
-1.5138,-0.50714
-2.1232,-0.22345
-1.5411,-0.22779
-1.1081,-0.39826
-1.9893,-0.62965
-1.8211,-0.42775
-1.935,-0.15089
-1.2913,-0.36888
-1.797,0.1021
-1.4046,-0.57552
