5.8747,1.1752,4.378,1.9023
6.5819,0.50017,3.3295,1.8055
4.4155,0.77299,5.7596,2.6503
5.0605,0.85699,5.4855,1.7176
3.7382,-0.66617,4.9594,3.1526
3.8541,0.21979,4.8474,2.4741
3.1661,0.29085,6.4655,1.6871
3.503,-0.12265,5.6518,1.7938
4.6262,-0.70604,5.1534,2.2171
3.8358,0.78973,5.3721,2.288
4.4732,0.021402,6.8483,2.491
4.7291,0.8718,5.8734,2.0519
3.8725,-0.23734,5.712,1.3495
4.0916,0.67278,6.0715,1.8784
3.8751,0.50044,5.4593,1.0385
5.2798,0.3788,4.6207,2.0693
3.4808,-0.47289,6.0207,2.0419
1.0318,-0.099401,4.071,1.8037
2.6196,-0.30609,5.0344,1.242
2.7918,-0.61776,6.8166,2.3159
2.8691,-0.43459,5.0891,2.1476
2.5486,-1.107,6.0738,1.2721
1.0494,-0.473,5.6033,0.93519
1.3865,-0.60961,6.1058,2.0788
1.5336,-1.0689,6.2565,1.8552
1.2524,-0.51212,5.3314,1.5432
2.9428,-1.5774,3.7021,1.6272
-0.77132,-1.4473,6.837,1.8224
1.6635,-1.3632,5.242,1.2326
2.0292,-1.8183,6.0637,-4.0837
0.34061,-3.3864,6.7223,-4.713
1.5552,-2.7885,4.6391,-5.2951
1.1258,-2.7765,6.9414,-5.1841
0.35417,-2.9877,6.3852,-4.2105
1.6722,-3.5007,5.7202,-5.3131
3.4308,-2.9412,5.1879,-5.5437
1.5591,-3.0859,6.6959,-4.4613
2.784,-2.4352,5.8757,-4.9042
1.2348,-3.0845,5.8967,-3.987
1.6344,-2.848,7.987,-5.2476
1.5167,-3.2286,5.7739,-4.7263
1.521,-4.0417,6.3338,-4.9854
2.2132,-3.8334,5.0582,-4.6888
2.4559,-3.4421,6.8767,-5.6281
3.1129,-3.2545,4.9592,-4.6361
2.1104,-2.722,4.0535,-4.3068
3.4455,-3.401,5.0406,-4.6186
3.375,-3.2728,3.3644,-4.7234
3.553,-2.8058,6.3755,-4.4591
4.2258,-3.1909,3.985,-5.4461
5.5559,-3.4825,5.4033,-3.7778
4.2227,-3.1019,5.988,-4.2253
4.4939,-3.1196,5.5082,-4.1189
5.5064,-2.3861,5.3504,-4.0649
4.4565,-2.5705,4.0635,-4.2473
3.756,-2.3556,4.8238,-3.6802
4.5715,-2.8025,5.76,-4.9479
5.5792,-1.455,4.0166,-4.4251
2.7019,-2.396,3.495,-3.8453
3.9434,-2.8439,3.9826,-4.3947
2.1647,-2.9752,5.4862,-4.0663
1.6225,-2.1892,4.3078,-5.1984
2.0956,-2.3627,4.756,-4.2152
2.6122,-2.7519,2.7392,-3.8493
0.64924,-2.2232,3.6627,-5.513
0.95065,-2.7108,3.6873,-4.513
2.4448,-1.4608,3.0728,-5.0245
3.0701,-0.73285,5.4651,-4.9161
3.2386,-1.2357,5.2839,-4.1082
2.8902,-1.6679,2.6303,-3.8635
2.2889,-0.72759,4.4015,-4.5178
3.0304,-1.1645,3.141,-4.6776
5.0401,-2.3247,3.8965,2.7609
4.5853,-1.1959,4.0645,1.8108
2.6237,-0.99641,5.686,2.0378
4.1841,-0.67101,4.3055,1.6667
2.2467,-0.95493,3.2383,2.087
3.3255,-0.21094,4.687,1.2144
3.2351,-1.3912,4.6938,1.8279
3.9776,0.56928,3.9197,1.3655
2.1296,0.078677,5.9886,1.7032
4.1048,-0.66147,3.5462,2.134
3.7901,-0.338,3.222,2.7587
4.0954,-0.86529,4.197,1.5423
2.8869,-0.84401,2.3201,2.0238
3.6738,-0.29274,3.1842,1.5171
2.6777,0.20755,3.0309,1.7784
3.6447,0.22112,4.9147,3.1126
3.567,0.86555,4.2343,1.7993
4.3472,-0.32321,4.1164,1.3971
5.027,-0.23345,4.4121,2.1833
5.8676,-1.4521,4.3773,2.131
4.113,-0.20359,3.4985,0.89397
5.6385,0.058237,2.0401,1.3208
6.5943,0.037488,1.7675,1.4026
6.6321,-0.27274,3.4809,1.4855
4.2391,-0.56104,5.1037,1.6504
6.7281,-0.092093,4.2706,1.3034
5.9893,1.2437,4.4891,1.7859
7.7008,-0.29179,5.2393,1.7903
